yyyymm,date,EqualWeight_TopK,diagSigma_kappa_0.0,diagSigma_kappa_0.1,diagSigma_kappa_0.5,diagSigma_kappa_1.0,diagSigma_kappa_10.0,identity_kappa_0.0,identity_kappa_0.1,identity_kappa_0.5,identity_kappa_1.0,identity_kappa_10.0
202006,2020-06-01,1.655230996348647,1.7131464872750097,1.9975636730740967,1.8761983720176683,1.7992030380815087,1.770811483902702,1.7131464872750097,1.8490290278581185,1.6908300312758087,1.6754388367488051,1.65735111494175
202007,2020-07-01,1.7343741339087735,1.7808491385942922,2.0442749560436075,1.9346905758540254,1.865382273388931,1.8559802037248316,1.7808491385942922,1.9087356111559985,1.7715380750561636,1.755763221962179,1.7366470069194704
202008,2020-08-01,1.6930585612302989,1.8314790468880016,2.070392344028254,1.9487889814147759,1.8596693463369642,1.8213180564934541,1.8314790468880016,1.8950540761446324,1.734707036824542,1.7168715835480721,1.6955946532069741
202009,2020-09-01,1.7328021134474023,1.9267977244910692,2.160480993451102,2.0151244238196555,1.9213307517118363,1.875745828317477,1.9267977244910692,1.9850107917963298,1.7915219849291768,1.7660114026735785,1.7363814403546254
202010,2020-10-01,2.091134259325425,2.113349387945124,2.3980521794265983,2.306926530722738,2.218510264274578,2.1951973506640488,2.113349387945124,2.3318923649964773,2.1333957173685176,2.1157410904218605,2.093798391645319
202011,2020-11-01,2.240209056348776,2.3305081875161346,2.539186864417288,2.404433930267863,2.3164145250711723,2.3140882831432448,2.3305081875161346,2.4621560363487496,2.2738811894104662,2.2601406955179306,2.242379326083202
202012,2020-12-01,2.460431410316308,2.47988557745804,2.6765178999495025,2.5047447787453065,2.407656632058611,2.412010072281702,2.47988557745804,2.653585191549561,2.480772489133575,2.473226953195678,2.461716390720746
202101,2021-01-01,2.746268535597202,2.6387518091415036,2.8452963104453444,2.697439139578427,2.610518768136053,2.6572551165788427,2.6387518091415036,2.8887475744846673,2.7392337555117203,2.7442791330323373,2.7459469857130383
202102,2021-02-01,2.929767868996832,2.785367731451535,3.068745526853809,2.9113099727507206,2.8162166389648258,2.871077934821185,2.785367731451535,3.0545410642408104,2.9143155846016646,2.92367696027222,2.9289935786387975
202103,2021-03-01,3.0249570737303353,2.8716128271596704,3.1462323746445557,2.9855242902015067,2.9061516177486166,2.9803906529537563,2.8716128271596704,3.1456675578535305,3.013389752580449,3.022449307746096,3.024606668567859
202104,2021-04-01,3.164460849198587,3.00199825464291,3.2948681415822785,3.1328028582078793,3.0562323014778268,3.1309235079799924,3.00199825464291,3.318460527856956,3.1530192321241826,3.1617332663554256,3.1641025716102056
202105,2021-05-01,3.11029959864565,2.975967293811721,3.2563016122873747,3.103249218041649,3.0115574194681076,3.0625591463792996,2.975967293811721,3.260718270735384,3.0889082754884805,3.101632015025211,3.109265838311692
