yyyymm,mahalanobis,mahalanobis_sq,gaussian_logpdf
199204,1.8449042346451463,3.4036716350115928,35.52318423795798
199205,1.2616627375021425,1.5917928632014,36.42912362386307
199206,1.8758764900797134,3.518912606033785,35.46556375244688
199207,1.987874620164154,3.9516455054927797,35.249197302717384
199208,1.5395508169470427,2.3702167179623066,36.03991169648262
199209,1.3178061799746115,1.736613127979278,36.35671349147413
199210,2.2209795326649595,4.9327500845166625,34.75864501320544
199211,1.4905410441989102,2.221712604441578,36.114163753242984
199212,1.3937839939165388,1.9426338216979384,36.2537031446148
199301,1.8566299354992961,3.4470747173921206,35.50148269676771
199302,1.6864103971513196,2.8439800276200717,35.803030041653734
199303,4.047877822375794,16.3853148648818,29.032362623022873
199304,1.9942892754360357,3.9771897141191888,35.23642519840418
199305,1.6062681158178604,2.5800972598930594,35.93497142551724
199306,1.6420685808509412,2.696389224217824,35.87682544335486
199307,1.2595419328974589,1.586445880727067,36.43179711510024
199308,1.4432909041451236,2.0830886339880483,36.183475738469745
199309,1.1190037291953552,1.2521693459531118,36.59893538248722
199310,1.1188834061011366,1.2519000764484811,36.599070017239534
199311,2.2487905015513485,5.057058719867565,34.69649069552999
199312,1.2394357123784734,1.536200885119134,36.45691961290421
199401,1.2812303028926306,1.641551089050342,36.404244510938604
199402,1.6607038150200528,2.7579371612221575,35.84605147485269
199403,2.1909510729197117,4.800266603928035,34.824886753499754
199404,1.0153518023100816,1.030939282454331,36.70955041423661
199405,1.1963589378217698,1.4312747081060335,36.50938270141076
199406,2.0148011839002504,4.059423810645851,35.195308150140846
199407,1.4191162788800962,2.0138910129824907,36.218074548972524
199408,1.1238466499148405,1.2630312925248102,36.593504409201365
199409,1.653062327788976,2.732615059555108,35.85871252568622
199410,1.2612539558061842,1.5907615410367482,36.4296392849454
199411,1.9023460328036328,3.6189204285237206,35.41555984120191
199412,1.9798915023609722,3.919970361121188,35.26503487490318
199501,1.534846165037632,2.3557527503307254,36.04714368029841
199502,1.2831790682944118,1.6465485213089148,36.401745794809315
199503,3.0849366974967687,9.51683442756227,32.466602841682636
199504,0.7860510543983483,0.6178762601207551,36.9160819254034
199505,2.4683079485665838,6.092544128956977,34.178747990985286
199506,0.7527818689591377,0.5666805422336123,36.94167978434697
199507,1.4236352193857507,2.026737237875514,36.21165143652602
199508,1.1844492155617188,1.4029199442447708,36.52356008334139
199509,1.0036244919657025,1.0072621208734145,36.72138899502706
199510,1.9402251282969605,3.7644735484749567,35.342783281226296
199511,2.223703318788768,4.94485644999218,34.75259183046768
199512,1.0901375652045748,1.1883999110701586,36.63082009992869
199601,1.8582042019980756,3.452922856323305,35.49855862730212
199602,2.0063887231842066,4.025595708520751,35.212222201203396
199603,1.237165156201387,1.5305776237188025,36.459731243604374
199604,1.5751478033420139,2.4810906023731714,35.98447475427719
199605,1.8060853586348191,3.2619443226750633,35.59404789412624
199606,1.120593625824502,1.2557300742385038,36.59715501834452
199607,2.225674070040379,4.953625066050106,34.74820752243872
199608,1.0214258152312836,1.0433106960208924,36.703364707453325
199609,1.3058867099185987,1.7053400991420222,36.37235000589276
199610,1.6211800787639346,2.6282248477810373,35.91090763157325
199611,1.9410809641450524,3.767795309366286,35.34112240078063
199612,2.080384936773917,4.3280014851558155,35.06101931288587
199701,1.6582553391969745,2.749810769975273,35.85011467047614
199702,0.6139937779289891,0.3769883593355128,37.036525875796016
199703,1.434377919042332,2.057440014636211,36.196300048145666
199704,1.7970633114915033,3.2294365455088077,35.61030178270937
199705,1.8774769539666982,3.524919712676071,35.46256019912574
199706,1.2622938368047671,1.5933857304353,36.42832719024612
199707,2.495927366814306,6.229653420412594,34.11019334525748
199708,1.9660528410952702,3.8653637739787836,35.29233816847438
