category,run_name,scenario,topk,loss,lambda,kappa,omega,mu_transform,best_val_metric,test_sharpe
universe_sweep,topk=37__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,37,return,5.0,1.0,diagSigma,zscore,0.22953393806237726,0.8565713854169191
universe_sweep,topk=37__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,37,sharpe,20.0,1.0,identity,zscore,0.8980548625570081,1.096794934088956
universe_sweep,topk=37__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,37,utility,10.0,1.0,diagSigma,zscore,0.020702785393223167,1.0818597361458717
universe_sweep,topk=40__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,40,return,5.0,1.0,diagSigma,zscore,0.2472501796146389,0.6991054992443195
universe_sweep,topk=40__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,40,sharpe,20.0,1.0,identity,zscore,1.0441753824612767,1.2369747734829664
universe_sweep,topk=40__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,40,utility,10.0,1.0,diagSigma,zscore,0.04737873213598505,0.9660522276342972
universe_sweep,topk=42__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,42,return,5.0,1.0,diagSigma,zscore,0.20291955820284782,0.5823080670536273
universe_sweep,topk=42__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,42,sharpe,20.0,1.0,identity,zscore,1.0700165108861814,1.197675682235478
universe_sweep,topk=42__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,42,utility,10.0,1.0,diagSigma,zscore,-0.017912587604951114,1.0086116837008485
universe_sweep,topk=47__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,47,return,5.0,1.0,diagSigma,zscore,0.24517361316829922,0.8302460808652653
universe_sweep,topk=47__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,47,sharpe,20.0,1.0,identity,zscore,1.0052139190010063,0.8904350793444913
universe_sweep,topk=47__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,47,utility,10.0,1.0,diagSigma,zscore,0.20435223577951545,1.1008618662135938
universe_sweep,topk=48__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,48,return,5.0,1.0,diagSigma,zscore,0.22647264844272286,0.8213843190365651
universe_sweep,topk=48__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,48,sharpe,20.0,1.0,identity,zscore,1.1470461921460948,1.1160565662646902
universe_sweep,topk=48__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,48,utility,10.0,1.0,diagSigma,zscore,0.02206186132971197,1.003402654086511
universe_sweep,topk=56__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,56,return,5.0,1.0,diagSigma,zscore,0.22376353558211123,1.0964367588701147
universe_sweep,topk=56__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,56,sharpe,20.0,1.0,identity,zscore,1.1621163229318763,1.0914680060991002
universe_sweep,topk=56__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,56,utility,10.0,1.0,diagSigma,zscore,-0.0005268404813250527,0.7524195233516191
universe_sweep,topk=68__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,68,return,5.0,1.0,diagSigma,zscore,0.3006867631542263,0.7327251698004746
universe_sweep,topk=68__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,68,sharpe,20.0,1.0,identity,zscore,1.2325153515900296,1.1591746902920572
universe_sweep,topk=68__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,68,utility,10.0,1.0,diagSigma,zscore,0.19720439667580647,1.2009357512892413
universe_sweep,topk=75__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,75,return,5.0,1.0,diagSigma,zscore,0.3572767009754898,1.1856387701454962
universe_sweep,topk=75__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,75,sharpe,20.0,1.0,identity,zscore,1.1991532421324558,1.1814371015680996
universe_sweep,topk=75__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,75,utility,10.0,1.0,diagSigma,zscore,-0.008069075393723323,0.9952306844701677
universe_sweep,topk=83__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,83,return,5.0,1.0,diagSigma,zscore,0.24010727382265032,0.7387590488252982
universe_sweep,topk=83__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,83,sharpe,20.0,1.0,identity,zscore,1.210451909105672,1.1702783341123952
universe_sweep,topk=83__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,83,utility,10.0,1.0,diagSigma,zscore,0.12009196904255076,1.2634244707901268
universe_sweep,topk=85__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,85,return,5.0,1.0,diagSigma,zscore,0.26988390281330793,1.198404165521065
universe_sweep,topk=85__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,85,sharpe,20.0,1.0,identity,zscore,1.2317658142390866,1.1403996529606983
universe_sweep,topk=85__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,85,utility,10.0,1.0,diagSigma,zscore,0.16302033417159692,0.9627640059130943
universe_sweep,topk=86__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,86,return,5.0,1.0,diagSigma,zscore,0.2609566748840735,1.013157807952156
universe_sweep,topk=86__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,86,sharpe,20.0,1.0,identity,zscore,1.2089703266415406,1.0325661856634332
universe_sweep,topk=86__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,86,utility,10.0,1.0,diagSigma,zscore,0.11543650103776598,0.8465353728026536
universe_sweep,topk=89__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,89,return,5.0,1.0,diagSigma,zscore,0.2139764977619052,0.9222478849159059
universe_sweep,topk=89__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,89,sharpe,20.0,1.0,identity,zscore,1.2081160874201882,1.1855223313349788
universe_sweep,topk=89__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,89,utility,10.0,1.0,diagSigma,zscore,0.13999264815938658,1.4474681947174695
universe_sweep,topk=92__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,92,return,5.0,1.0,diagSigma,zscore,0.20023762767668815,0.8323138609604979
universe_sweep,topk=92__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,92,sharpe,20.0,1.0,identity,zscore,1.2593158092655041,1.1047604023115711
universe_sweep,topk=92__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,92,utility,10.0,1.0,diagSigma,zscore,0.008605336406617425,0.8653424803483957
universe_sweep,topk=93__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,93,return,5.0,1.0,diagSigma,zscore,0.2987624500412494,0.48129027888297654
