yyyymm,contraction,expansion,financial_stress
199103,0.48096889382795965,0.3579495097940358,0.16108159637800465
199104,0.580224777086493,0.3367250858297766,0.08305013708373049
199105,0.7585561582722713,0.21075029713754068,0.030693544590187995
199106,0.7179114947187522,0.25789923186567293,0.024189273415574804
199107,0.7788365855473824,0.21101581225069344,0.010147602201924096
199108,0.8757788503584665,0.11706231947542774,0.007158830166105902
199109,0.8709381048446455,0.12484074000676705,0.0042211551485876325
199110,0.8850630148426041,0.11215802178142847,0.002778963375967384
199111,0.925781244835271,0.07236787170363741,0.0018508834610916193
199112,0.9514906644661275,0.04813656419527089,0.0003727713386015962
199201,0.9528629831052763,0.04689271149593444,0.00024430539878936476
199202,0.9672314699208779,0.03247466691129409,0.0002938631678280492
199203,0.9575252126741517,0.04195603945764448,0.0005187478682038129
199204,0.9372578866235739,0.0622122132849137,0.0005299000915122656
199205,0.8976545400637154,0.10186517691553043,0.00048028302075427267
199206,0.8647738417236581,0.13440522658316412,0.0008209316931777809
199207,0.79658097737599,0.2029986297718698,0.0004203928521402635
199208,0.7002771357935239,0.2994047151783356,0.0003181490281404556
199209,0.6699223440921916,0.32972400812484354,0.00035364778296473196
199210,0.7341420992725867,0.26515688728471165,0.0007010134427017427
199211,0.6605681590774681,0.3386775969598051,0.0007542439627267984
199212,0.4646813084461654,0.5346138965993383,0.0007047949544962737
199301,0.6363078710607858,0.363045584926828,0.0006465440123862181
199302,0.5141032755772572,0.4852829707265838,0.0006137536961590823
199303,0.4705793632564218,0.5284904679538478,0.0009301687897303162
199304,0.4302623187806978,0.5679925349461483,0.001745146273153911
199305,0.4598417939933818,0.5378549382762049,0.0023032677304131335
199306,0.4079585338997443,0.5901702297022453,0.0018712363980102396
199307,0.2705568042149968,0.7271846663890631,0.0022585293959400446
199308,0.3185257683866385,0.6788195691855583,0.0026546624278031505
199309,0.21428380881930362,0.7839690748396904,0.001747116341006054
199310,0.2339767914938476,0.7637339131491474,0.0022892953570050295
199311,0.11594535375904719,0.8805537673979148,0.0035008788430381074
199312,0.07837885218305189,0.9180482357131134,0.0035729121038346524
199401,0.12285206987107362,0.8718640251545362,0.005283904974390029
199402,0.12525967119944725,0.8663285811280537,0.00841174767249916
199403,0.1070619727434941,0.8809494169857017,0.011988610270804292
199404,0.06587556360465169,0.9200106978461994,0.014113738549148849
199405,0.039251858239639476,0.9430961706781256,0.017651971082235103
199406,0.04717891795951949,0.9097280550430218,0.04309302699745873
199407,0.030504982797081685,0.9252509261934696,0.04424409100944872
199408,0.041178643180654055,0.8924500746750683,0.06637128214427761
199409,0.023481704406244645,0.9045296677802863,0.07198862781346907
199410,0.013531656033550223,0.8991782581198897,0.08729008584655988
199411,0.006811518156271447,0.8443985321883436,0.14878994965538492
199412,0.0038854056544459924,0.8109208046324089,0.18519378971314507
199501,0.0055852031601185265,0.7406656411324722,0.2537491557074092
